user,movie,rating
53,148,3.2
4169,148,3.152981
5333,148,2.5163772
4387,148,2.3528926
840,148,2.54237
216,148,3.2
482,148,3.2
752,148,2.8853745
424,148,3.2
970,463,2.746033
4169,463,2.4169364
26,463,3.2
319,463,3.2
202,463,3.2
721,463,3.2872038
331,463,3.2
524,463,3.2
1962,463,1.9664127
934,463,2.103693
1088,471,3.413045
392,471,3.2
516,471,3.2
1265,471,3.2
4186,471,2.8257298
588,471,3.2
78,471,3.2
796,471,3.0944107
1500,471,3.9942105
4958,471,3.2677672
1243,471,3.4894552
406,471,3.2
587,471,3.2
26,471,3.2
743,471,3.3767307
2168,471,3.8130481
409,471,3.2
5333,471,3.3189814
2127,471,3.3586922
319,471,3.2
157,471,3.2
232,471,3.2
539,471,3.2
1505,471,3.7420306
1425,471,4.1807137
132,471,3.2
386,471,3.2
146,471,3.2
1491,471,3.2675507
3648,471,2.8288913
631,471,3.2
442,471,3.2
1952,471,3.754203
1242,471,3.6427948
839,471,4.0298495
2880,471,3.5386276
692,471,4.4665203
402,471,3.2
415,471,3.2
2627,471,3.1691623
425,471,3.2
1530,471,3.865918
3285,471,3.6439457
4478,471,3.7016404
5874,471,3.7940352
2841,471,3.9417453
3401,471,3.0762434
461,471,3.2
462,471,3.2
4809,471,3.4951804
2926,471,3.056718
1211,471,3.7075887
175,471,3.2
1698,471,3.9976354
2271,471,3.717066
721,471,2.8042967
1386,471,4.280614
698,471,3.856758
326,471,3.2
5938,471,4.0220485
981,471,3.5524864
549,471,3.2
2436,471,3.7974644
136,471,3.2
331,471,3.2
428,471,3.2
2333,471,3.445364
3821,471,3.0145638
438,471,3.2
3430,471,3.016702
533,471,3.2
509,471,3.2
293,471,3.2
5172,471,3.1427794
216,471,3.2
1447,471,3.8331556
3462,471,3.4141693
408,471,3.2
1897,471,3.3765438
95,471,3.2
482,471,3.2
2453,471,3.1822906
528,471,3.2
214,471,3.2
550,471,3.2
1079,471,3.225316
352,471,3.2
752,471,3.4805877
90,471,3.2
371,471,3.2
151,471,3.2
433,471,3.2
1383,471,3.236878
478,471,3.2
1842,471,4.146408
58,471,3.2
369,471,3.2
541,471,3.2
1228,471,3.5446444
424,471,3.2
454,471,3.2
1448,471,3.245839
242,471,3.2
1983,471,3.9808602
566,471,3.2
149,471,3.2
294,471,3.2
302,471,3.2
1202,471,3.3417835
3312,471,3.3318634
628,471,3.2
1584,471,3.3765256
2282,471,4.123881
4602,471,3.3018272
934,471,3.113394
5565,471,3.7800586
4607,471,3.864761
187,471,3.2
1291,496,3.2887425
1952,496,3.3640308
3080,496,3.3241615
1635,496,3.5108805
17,496,3.2
1698,496,3.5663717
5394,496,3.130565
864,496,2.172641
4169,833,1.8630475
2015,833,2.590298
329,833,3.2
3792,833,2.2397087
2168,833,3.4247901
22,833,3.2
1425,833,2.1507714
355,833,3.2
1516,833,2.4391537
770,833,2.0931983
1779,833,2.2472694
438,833,3.2
2077,833,2.3056943
543,833,3.2
1647,833,1.8904427
293,833,3.2
1447,833,2.0447557
2116,833,2.5734048
621,833,3.2
5394,833,2.1817927
242,833,3.2
148,1088,3.2
1088,1088,3.113571
5156,1088,2.7145226
392,1088,3.2
3475,1088,3.3954072
1265,1088,3.2
4186,1088,2.125588
53,1088,3.2
481,1088,3.2
133,1088,3.2
513,1088,3.2
4126,1088,3.5274208
1561,1088,3.0588658
4517,1088,2.724649
5447,1088,3.7765255
412,1088,3.2
1752,1088,2.9193943
1889,1088,2.585549
26,1088,3.2
1875,1088,2.8738527
329,1088,3.2
223,1088,3.2
3679,1088,3.1380615
2127,1088,2.8635137
601,1088,3.2
727,1088,3.3260758
346,1088,3.2
855,1088,2.8410025
5787,1088,2.7248797
1505,1088,2.832972
2638,1088,2.7012153
556,1088,3.2
305,1088,3.2
291,1088,3.2
386,1088,3.2
1266,1088,3.5621846
146,1088,3.2
777,1088,2.6587384
4312,1088,2.825589
5539,1088,2.6302907
442,1088,3.2
348,1088,3.2
6,1088,3.2
86,1088,3.2
5001,1088,3.263569
178,1088,3.2
169,1088,3.2
500,1088,3.2
692,1088,3.5015903
5492,1088,3.2043858
2232,1088,3.1946735
1029,1088,2.9936342
544,1088,3.2
1930,1088,3.0036433
268,1088,3.2
5488,1088,2.8343537
92,1088,3.2
2909,1088,3.5803664
2810,1088,3.9400651
2847,1088,2.3165874
1194,1088,3.5312877
3401,1088,2.7211568
366,1088,3.2
37,1088,3.2
461,1088,3.2
531,1088,3.2
324,1088,3.2
1164,1088,3.1030667
4940,1088,3.1807215
721,1088,3.8279107
583,1088,3.2
594,1088,3.2
310,1088,3.2
326,1088,3.2
59,1088,3.2
2832,1088,2.2717304
136,1088,3.2
1998,1088,3.0508466
2188,1088,2.712844
331,1088,3.2
2077,1088,2.8949604
543,1088,3.2
5063,1088,3.3335993
524,1088,3.2
264,1088,3.2
869,1088,3.5851305
635,1088,3.2
1724,1088,3.5539649
2350,1088,3.5288749
10,1088,3.2
1611,1088,3.0066125
3014,1088,3.196918
38,1088,3.2
261,1088,3.2
1447,1088,3.4027407
3462,1088,2.9499059
249,1088,3.2
5996,1088,3.7933273
1421,1088,2.2937312
3842,1088,3.0866055
62,1088,3.2
1912,1088,1.8840879
411,1088,3.2
482,1088,3.2
2453,1088,3.4505627
528,1088,3.2
2125,1088,3.2815576
2116,1088,3.6795619
5723,1088,2.9363415
352,1088,3.2
678,1088,3.7595978
3507,1088,2.68072
752,1088,2.0456715
5458,1088,2.4235554
32,1088,3.2
382,1088,3.2
265,1088,3.2
151,1088,3.2
1579,1088,2.6500244
1383,1088,2.7099605
639,1088,3.607588
1268,1088,3.0516708
33,1088,3.2
5394,1088,2.934948
1448,1088,3.4155416
1958,1088,3.563419
5277,1088,2.819966
5205,1088,2.89511
499,1088,3.2
5734,1088,3.2008948
1092,1088,3.6590073
6016,1088,2.5178795
3768,1088,2.9375439
3363,1088,3.1085677
1776,1088,3.2289712
1117,1088,2.9816635
4467,1088,1.9307897
5636,1088,2.2714207
517,1088,3.2
2376,1088,2.4067366
5157,1238,4.191202
4418,1238,3.3886342
193,1238,3.2
1274,1238,3.7289217
2962,1238,3.375504
329,1238,3.2
973,1238,3.0481226
91,1238,3.2
333,1238,3.2
2407,1238,3.8630865
157,1238,3.2
5787,1238,3.8579879
1505,1238,4.1135316
935,1238,3.4675314
1266,1238,4.0507607
1590,1238,3.5148766
2781,1238,4.3518248
5761,1238,4.002512
1952,1238,3.7613616
178,1238,3.2
1242,1238,3.9023876
235,1238,3.2
397,1238,3.2
117,1238,3.2
1002,1238,3.9638627
1181,1238,3.1635115
4448,1238,4.3451166
327,1238,3.2
4940,1238,4.3703213
498,1238,3.2
307,1238,3.2
161,1238,3.2
549,1238,3.2
2436,1238,3.7862723
2832,1238,4.070479
691,1238,3.8800802
635,1238,3.2
5172,1238,3.5730135
1897,1238,3.9697657
3391,1238,4.318782
464,1238,3.2
550,1238,3.2
2868,1238,3.8930206
1547,1238,2.9630644
4802,1238,4.270889
3367,1238,4.2604995
525,1238,3.2
5991,1238,3.7874115
5019,1238,3.355453
4467,1238,2.135514
393,1238,3.2
1088,1342,2.3880773
53,1342,3.2
321,1342,3.2
4169,1342,2.671413
1051,1342,2.853183
2962,1342,2.350371
1889,1342,2.375455
548,1342,3.2
601,1342,3.2
855,1342,2.7163644
1266,1342,2.8184652
2796,1342,1.8398273
3648,1342,2.655798
1516,1342,2.6273139
676,1342,2.112728
163,1342,3.2
1733,1342,2.7870398
2847,1342,2.0889783
2910,1342,3.2
531,1342,3.2
5397,1342,2.5295691
1969,1342,3.0990841
721,1342,2.6205902
1451,1342,3.068208
1643,1342,2.7322702
278,1342,3.2
1737,1342,2.983769
585,1342,3.2
543,1342,3.2
524,1342,3.2
533,1342,3.2
2129,1342,3.0132878
1611,1342,3.2335453
710,1342,2.8291597
352,1342,3.2
195,1342,3.2
621,1342,3.2
608,1342,3.2
712,1342,2.8640203
1579,1342,2.5174766
424,1342,3.2
1448,1342,2.796866
337,1342,3.2
5878,1342,2.6864424
4085,1342,2.8104892
1776,1342,2.8727953
3055,1342,2.740953
148,1580,3.2
463,1580,3.2
496,1580,3.2
392,1580,3.2
623,1580,3.2
3475,1580,3.6127734
31,1580,3.2
516,1580,3.2
137,1580,3.2
251,1580,3.2
1265,1580,3.2
65,1580,3.2
458,1580,3.2
4294,1580,3.8490467
53,1580,3.2
255,1580,3.2
481,1580,3.2
588,1580,3.2
970,1580,3.5847697
4477,1580,3.2290344
472,1580,3.2
918,1580,2.5458791
321,1580,3.2
362,1580,3.2
155,1580,3.2
368,1580,3.2
530,1580,3.2
101,1580,3.2
1165,1580,3.1140952
385,1580,3.2
4169,1580,3.5853293
210,1580,3.2
436,1580,3.2
2683,1580,3.0187926
596,1580,3.2
1415,1580,3.365174
2905,1580,3.6979373
406,1580,3.2
412,1580,3.2
2962,1580,2.8181038
1889,1580,3.2654896
501,1580,3.2
577,1580,3.2
44,1580,3.2
192,1580,3.2
271,1580,3.2
1875,1580,3.3367157
5892,1580,3.4112597
